127.0.0.1 - - [04/Aug/2026 14:49:48] "HEAD /duel.html HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:50:38] "GET /duel.html HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:50:38] "GET /css/duel.css HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:50:38] "GET /js/supabase-config.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:50:38] "GET /js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:50:38] "GET /js/duel.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:50:39] "GET /img/bocabajo.jpg HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:58:10] "GET /duel.html HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:58:10] "GET /css/duel.css HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:58:10] "GET /js/supabase-config.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:58:10] "GET /js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:58:10] "GET /js/duel.js HTTP/1.1" 200 -
127.0.0.1 - - [04/Aug/2026 14:58:11] "GET /img/bocabajo.jpg HTTP/1.1" 200 -
